term,example
사드,"['시리아에서는 아사드 정권과 반군 세력 간에 내전이 지속되고 있고, 이라크에서는 이라크 정부군과 ISIL6) 간에 모술 등 북부지역을 중심으로 군사적 충돌이 지속 발생하고 있다.', '주한미군 사드체계 배치 222 5.', '\x07\t 양 장관은 성주기지(Camp Carroll) 사드 포대의 안정적인 주둔여건을 마련하기 위한 대한민국의 노력을 평가하였다.', '양 장관은 사드 기지에 대한 일상적이고 자유로운 접근을 정상화하기 위해 지속적으로 긴밀히 협력해 나가기로 하였다.']"
상륙돌격장갑차,"['둘째,해군은차기호위함, 차기고속정, 차기상륙함, 상륙돌격장갑차를노후대체전력으로확보하며, 대형수송함과소해함6) 추가확보사업을추진한다.']"
스커드미사일,['그러나 한편으로 스커드미사일과 신형방사포 등을 장소를 바꾸어가면서 기습발사하며 무력시위를 하였다.']
아파치,"['우리 군은 지상전력 면에서 K2 전차, K9 자주포, 천무 등 세계 최고 수준의 전차와 화포를 전력화하고 다수의 아파치 공격헬기를 보유하고 있다.', '주요전력은에이브라함전차,17) 브래들리장갑차,18) 155미리자주곡사포,다련장로켓과패트리어트19)를포함한지대공유도탄, 아파치헬기,20) F-16전투기, 대전차공격기등이다.', '48 | 제3장 포괄안보를 구현하는 국방태세 확립AH-64 (아파치) 공격헬기ATACMS (Army Tactical Missile System) 육군 전술유도탄 체계12.']"
어뢰,"['잠수함 (중어뢰, 잠대함유도탄, 기뢰 등을 탑재)이지스 구축함 (대공·대유도탄·대함·대잠전 등을 동시에 수행할 수 있는 능력 보유)5.', '수상전력은 유도탄정, 어뢰정, 경비정, 화력 지원정 등 대부분 소형 고속함정으로 구성되어 있으며, 지상작전과 연계하여 지상군의 진출 지원과 연안 방어 등의 임무를 수행한다.', '특히, 2010년에는 천안함을 어뢰로 공격하여 침몰시키고 연평도에 무차별 포격을 가하는 도발을 자행하였다.', '수상전력은 유도탄정, 어뢰정, 소형경비정 및 화력지원정 등 대부분 소형 고속함정으로 구성되어 있으며, 지상작전과 연계하여 지상군 진출을 지원하고 연안 방어 등의 임무를 수행한다.', '특히 북한은 잠수함정과 신형 어뢰 개발을 지속하는 등 비대칭 전력에 의한 수중 공격 능력을 향상시키고 있다.', '수상전력은 유도탄정, 어뢰정, 소형경비정, 화력지원정 등 대부분 소형 고속함정으로 구성되어 있으며, 지상작전과 연계하여 지상군 진출을 지원하고 연안 방어 등의 임무를 수행한다.', '특히 신형 어뢰 개발에 이어 탄도미사일 탑재가 가능한 신형 잠수함 등 새로운 형태의 잠수함정을 지속 건조하는 것으로 보이는 등 수중공격 능력을 향상시키고 있다.']"
울산급 호위함,"['울산급 호위함, 3천톤급 잠수함 등을 전력화하여 수상 및 수중작전 능력을 강화하고 대형수송함, 상륙함 등을 추가 전력화하여 상륙작전 능력도 향상시켜 나갈 것이다.']"
잠수함발사 탄도미사일,"['2015년 5월부터 2016년 8월까지 시험발사를 4차례 공개하는 등 잠수함발사 탄도미사일 개발을 지속하고 있다.', '함남 신포에서 잠수함발사 탄도미사일발사2022.', '함남 신포에서 잠수함발사 탄도미사일 발사2022.', '잠수함발사 탄도미사일 발사 (함남 신포)10.19.', '북한은 2016년 두 차례의 핵실험과 장거리 미사일, 잠수함발사 탄도미사일(SLBM3))을 포함하여 연이어 미사일 발사를 감행함으로써 역내 안보 위협을 심화시켰다.', '잠수함발사 탄도미사일(SLBM)은 북극성 계열과 잠수함 발사형 전술유도탄(북한판 이스칸데르 파생형)을 시험발사 하였으나, SLBM 운용이 가능한 잠수함은 개발 단계로 평가된다.', '정부, 북 탄도미사일 발사규탄 및  대화·외교 촉구잠수함발사 탄도미사일 발사 (함남 신포)5.7.']"
장갑차,"['주요전력은에이브라함전차,17) 브래들리장갑차,18) 155미리자주곡사포,다련장로켓과패트리어트19)를포함한지대공유도탄, 아파치헬기,20) F-16전투기, 대전차공격기등이다.', '이전에는 항공기, 공병장비 위주로 양도하였으나 2013년 이후 초계함, 상륙장갑차, 함포 및 함포탄 등 다양한 군수품의 양도가 이루어지고 있다.', '둘째,해군은차기호위함, 차기고속정, 차기상륙함, 상륙돌격장갑차를노후대체전력으로확보하며, 대형수송함과소해함6) 추가확보사업을추진한다.', '또한, 2021년 11월에는 레바논 군에 바라쿠다 장갑차 10대를 무상 양도하였으며 지속적인 연합훈련을 통해 레바논군의 역량강화를 지원하고 있다.', '지상분야는 종심지역 정밀타격능력과 기동작전 수행능력 강화를 위해 대포병탐지레이더-Ⅱ, 230㎜급 다련장, K계열 전차 및 차륜형장갑차를 배치할 것이다.', '지상전력 분야에서는 K-1/K1A1 전차, K-200 장갑차, K-277 지휘소용 장갑차, K-55 자주포 등의 성능을 개량한다.', '장비 현대화와 관련해서는 2008년부터 차세대 장갑차(ZBD형)와 Z-10 공격용 헬기를 배치하고 있으며, 2010년에는 최신형 전차(T-99)를 실전 배치하였다.', '필리핀·방글라데시·카자흐스탄·인도네시아·페루·가나 등에 함정·상륙장갑차·항공기·불도저 등 불용 장비를 양도하였고 콜롬비아에도 불용 탄약을 양도하였다.', '한국형전투장갑차개발성공(ADD)▶1987.']"
장사정포,"['방호전력은 핵\u2006・\u2006미사일, 장사정포 및 다양한 공중위협에 대한 탐지\u2006・\u2006추적\u2006・\u2006요격능력을 보강하고, 전자기 펄스(EMP3)) 및 화생방 방호 능력을 점진적으로 보강할 것이다.', '이와 동시에 개전 초부터 북한의 장사정포와 미사일 등 핵심전력을 정밀타격하여 수도권의 안전을 확보하고 최단시간 내에 전쟁 주도권을 장악할 것이다.', '북한은 대량살상무기, 특수부대, 장사정포, 수중전력, 사이버전 능력을 포함한 비대칭 전력의 집중적인 증강과 재래식 전력의 선별적인 증강을 추구하고 있다.', '한미는 심화된 북한의 장사정포 위협에 보다 효과적으로 대응하기 위해 주한미군의 대화력전 수행전력을 한강 이북 위치에 잔류시키기로 결정하였다.', '지상전력은 북 핵\u2006・\u2006WMD 위협에 대응하기 위한 고위력\u2006・\u2006초정밀 지대지미사일 전력과 수도권 위협 장사정포 위협에 대응하기 위한 대화력전 수행전력을 확보할 것이다.', '특히 남한에 대한 군사적 우위를 확보하기 위해 핵, 미사일 등 대량살상무기와 장사정포, 수중전력, 특수전 부대, 사이버 부대 등 비대칭 전력을 집중적으로 증강하고 있다.', '특히, 북한의 미사일·방사포의 혼합사격에 대한 동시대응능력 확보를 위해 한국형 아이언돔인 장사정포 요격체계를 조기 전력화하여 복합 다층방어체계를 구축해 나갈 예정이다.', '이밖에도 적의 장사정포를 무력화하는 대화력전훈련과 적 특수전부대의 해상침투에 대비한 해상침투 저지훈련을 실시하고 있다.', '핵\u2006・\u2006WMD와 장사정포 위협을 억제\u2006・\u2006대응할 수 있는 전력을 우선적으로 구축하고, 잠재적 위협에 대비하는 전략적 억제능력을 구비할 것이다.']"
저격수,['한편 후방 향토사단 작전지역의 도시화와 적 특수전부대의 위협 증가에 대비하기 위해 예비군 저격수를 편성하였다.']
전략 폭격기,"['스텔스 성능을 갖춘 전투기를 실전배치하였으며, 장거리·전략 폭격기의 개량사업을 추진하고 있고 중국 공군과 정례적 연합공중훈련을 통해 연합작전 능력도 강화하고 있다.']"
전자전기,['중·장기적으로는 합동이동표적감시통제기 및 전자전기 전력화와 연계하여 감시통제비행전대와 전자전전대를 창설할 것이다.']
정찰기,"['감시·정찰 능력을 향상시키기 위해 고고도 무인정찰기인 글로벌호크를 도입하고 중·장기적으로 정찰위성을 확보할 계획이다.', '고고도 무인정찰기 (HUAV) 사업북한 위협 및 미래 전장환경 변화에 대비한 정보수집 능력 확보를 위한 고고도 무인정찰기 확보 사업7.', '이를 위해 다양한 형태의 유·무인정찰기와 다목적 실용위성을 점진적으로 확보할 것이다.', '주요 전력은 자주포·방사포 등 지상무기체계, 잠수함·구축함 등 해상전력과 MiG-31, Su-27 등 전투기와 정찰기를 배치하여 운용하고 있다.', '전략적 수준의 감시와 조기경보가 가능하도록 공중 조기경보통제기를 확보하고 감시·정찰 능력을 강화하기 위해 전술정찰정보수집체계와 고고도 무인정찰기 등을 확보한다.']"
정찰위성,"['또한 북한의 도발 징후를 조기에 포착할 수 있도록 중\u2006·\u2006고고도 정찰용 무인항공기, 다목적 실용위성, 군정찰위성 등 독자적인 감시능력을 지속적으로 확충해 나갈 것이다.', '감시·정찰 능력을 향상시키기 위해 고고도 무인정찰기인 글로벌호크를 도입하고 중·장기적으로 정찰위성을 확보할 계획이다.', '북한 핵·WMD 미사일 위협에 대응하기 위해 군정찰위성, 정찰용무인항공기, 다출처영상융합체계 등을 전력화하여 첨단·광역화된 원거리 감시정찰 능력을 구축할 것이다.', '준중거리 탄도미사일 발사 (평북 동창리)* 정찰위성개발시험이라고 주장12.18.', '지상의 전략표적 등을 획득하기 위한 감시정찰 능력을 확충하기 위해 군 정찰위성과 초소형 위성체계를 개발하고 있으며, 국가위성 개발사업에도 적극적으로 참여하고 있다.', '평북 동창리에서 준중거리 탄도미사일(북한은 정찰위성개발시험이라고 주장) 발사2022.12.', '평양 순안에서 대륙간 탄도미사일(북한은 정찰위성개발시험이라고 주장) 발사2022.', '국방부는 2018년 국가 우주개발에 관한 중장기 정책 목표와 기본방향을 정하는 「우주개발 진흥 기본계획」 개정에 참여하여, 군 정찰위성 및 우주위협감시체계 개발 근거를 마련하였다.', '전략표적 타격능력 구비를 위해 군정찰위성, 정찰용 무인기, 장거리 공대지유도탄, F-35A 등을 확보하여 감시능력과 장거리 타격능력을 확충해 나갈 것이다.', '국방부는 2018년 2월 국가 중기 우주개발정책 기조와 계획을 수립하는 「우주개발 진흥 기본계획」 개정에 참여하여 정찰위성 확보와 우주감시기관 역량 강화에 대한 근거를 마련하였다.', '북한의 도발 징후를 조기에 포착할 수 있도록 중·고고도 정찰용 무인항공기(UAV), 다목적 실용위성, 군 정찰위성 등 독자적인 감시능력을 지속적으로 확충해 나갈 것이다.']"
지뢰,"['아세안 확대국방장관회의 산하에는 인도적 지원 및 재난 구호, 해양안보, 군 의료, 대테러, 평화유지활동, 인도적 지뢰대책 등 6개 분야의 전문가 워킹그룹이 활동하고 있다.', '학교기관의 전투 자격인증제는 교육기간 중에 전투임무 수행 시 필수적인 유격·지뢰·폭파·인명구조·무도 등 9개 분야에 대하여 시행하고 있다.', '그러나 남북 간의 군사적 대치로 인해 비무장지대는 각종 군사시설, 중화기, 지뢰 등이 밀집하여 세계에서 가장 중무장된 지역 중 하나로 변모하였다.', '남북 간 군사적 긴장상태는 2015년 8월 북한의 기습적인 비무장지대 지뢰·포격도발로 인해 최고조에 달했다.', '북한의 비무장지대 지뢰·포격도발과 우리 군의 대응 213 3.', '이러한 협약들은 인도주의적 관점에서 민간인 피해를 방지하기 위해 확산탄 및 지뢰의 생산·사용·비축·이전의 전면 금지는 물론 보유 중인 확산탄·지뢰의 완전 폐기까지 규정하고 있다.', '38)\u3000 Newspaper In Education지뢰도발\u2009부상\u2009장병\u2009시구\u2009및\u2009시타\u2009행사(2016년\u20096월)Thank\u2009you!', '캄보디아는 지뢰제거 분야에서 다년간의 경험을 갖고 있어 선진 장비를 갖춘 우리나라와 협력 시 시너지 효과를 얻을 수 있으며 이를 새로운 파병모델로 발전시킬 수 있다.', '관리구역내시설물건설실무회담통일각- 비무장지대공사를위한안전보장문제- 비무장지대지뢰제거작업동시착공문제•주요협의내용: 「남북군사보장합의서안」- 도로노선확정32차남북군사2000.12.5.']"
천궁,"['또한 패트리어트 체계와 탄도탄조기경보레이더 도입, 천궁 체계 및 현무 미사일 자체개발 등을 통해 북한 핵·미사일 위협 대응능력도 지속 확충해 나가고 있다.', '또한, 복합·광역다층방어를 위해 호크포대에서 천궁포대로 개편하고, 탄도탄감시대대 및 장거리지대공미사일(L-SAM)대대 창설 등 방공유도탄사령부를 개편해 나갈 것이다.', '방공 및 화생방 방호 능력의 증강을 위해 중거리 지대공 유도무기(천궁), 방공지휘통제경보체계, 신형 제독차 등을 확보한다.', '그러나, 국내 방위산업이 발전하면서 수출대상 국가가 증가하고 대상 국가별로 요구하는 사항이 다양해지고 있으며, 수출품목도 FA-50, 천궁-II 등 첨단무기체계로 확대되고 있다.', '또한 2012년도에는 대공 유도미사일 천궁에 대한 상호운용성 시험평가를 수행하여 실전에서 합동작전을 수행할 수 있는지를 사전에 정확히 검증하였다.', '또한 복합\u2006・\u2006광역다층방어를 위해 탄도탄감시대 증편, 패트리엇 성능 개량, 천궁 및 장거리지대공미사일(L-SAM) 포대 편성 등 방공유도탄사령부를 개편해 나갈 것이다.']"
천무,"['우리 군은 지상전력 면에서 K2 전차, K9 자주포, 천무 등 세계 최고 수준의 전차와 화포를 전력화하고 다수의 아파치 공격헬기를 보유하고 있다.']"
킬체인,"['특히 북한의 핵과 탄도미사일 위협에 대비해 킬체인(Kill Chain)과 한국형 미사일 방어체계(KAMD) 등 탐지, 식별, 결심, 타격 능력을 발전시켜 나갈 것이다.', '킬체인(Kill Chain)을 통한 자위권 확보, 한국형 미사일 방어체계(KAMD) 강화, 대량응징보복(KMPR) 역량 강화 등 압도적 한국형 3축체계 능력을 확보할 것이다.', '이를 위해 장거리 공대지 유도탄, 장거리 지대공 유도무기 등을 획득하여 킬체인(Kill Chain)과 한국형 미사일 방어체계를 조기에 구축할 것이다.', '킬체인(Kill Chain)과 한국형 미사일 방어체계(KAMD)를 구축하고, 대포병 탐지레이더를 배치하는 등 접적지역 전면전 능력을 보강하였다.', '북한의 미사일, 이동식 발사대 및 이동로, 지휘통제체계, 관련 고정시설 등 북핵·미사일 작전체계를 타격하기 위해 킬체인(Kill Chain)을 구축하고 있다.', '킬체인은 적의 미사일 위협을 실시간으로 탐지하여 표적 위치를 식별하고 효과적으로 파괴할 수 있는 타격 수단을 결심한 후 타격하는 일련의 공격체계를 말한다.']"
함포,"['이전에는 항공기, 공병장비 위주로 양도하였으나 2013년 이후 초계함, 상륙장갑차, 함포 및 함포탄 등 다양한 군수품의 양도가 이루어지고 있다.', '해상에서는 완충구역 내 남북 모두 함포·해안포의 포구·포신 덮개를 설치하고 포문을 폐쇄하였으며, 함포·해안포의 실사격과 해상기동훈련을 중단하였다.']"
현무 미사일,"['또한 패트리어트 체계와 탄도탄조기경보레이더 도입, 천궁 체계 및 현무 미사일 자체개발 등을 통해 북한 핵·미사일 위협 대응능력도 지속 확충해 나가고 있다.']"
