용어,용례리스트,출처리스트,정의
포케불프 Fw 190,포케불프 Fw 190은 제2차 대전에서 Bf 109와 함께 독일의 주력 전투기로 활약했다.,무기의세계,포케불프 Fw 190은 제2차 대전에서 Bf 109와 함께 독일의 주력 전투기로 활약했다.
SVD 반자동소총,새 시대에 걸 맞는 소부대용 특수 목적 소총이 필요하게 되었고 그러한 요구에 부응하여 탄생한 걸작이 ‘드라구노프(Snayperskaya Vintovka sistem'y Dragunova obraz'tsa)’ 즉 SVD 반자동소총이다.,무기의세계,새 시대에 걸 맞는 소부대용 특수 목적 소총이 필요하게 되었고 그러한 요구에 부응하여 탄생한 걸작이 ‘드라구노프(Snayperskaya Vintovka sistem'y Dragunova obraz'tsa)’ 즉 SVD 반자동소총이다.
ZiS-3 사단포,소련에서 구국의 전차라고 불리는 T-34처럼 흔히 구국의 포로 불린 M1942 ZiS-3 사단포(이하 ZiS-3)도 그러했던 대표적 무기 중 하나였다.,무기의세계,소련에서 구국의 전차라고 불리는 T-34처럼 흔히 구국의 포로 불린 M1942 ZiS-3 사단포(이하 ZiS-3)도 그러했던 대표적 무기 중 하나였다.
투폴레프 Tu-22M 백파이어 폭격기,냉전 시대에 공포의 대명사였던 투폴레프 Tu-22M 백파이어 폭격기도 그중 하나다.,무기의세계,냉전 시대에 공포의 대명사였던 투폴레프 Tu-22M 백파이어 폭격기도 그중 하나다.
FAMAS 돌격소총,갖은 우여곡절 끝에 탄생하여 현재 프랑스군의 표준 제식화기로 사용 중인 FAMAS 돌격소총은 그러한 프랑스의 국산 무기 개발에 관한 딜레마를 여실히 보여주고 있는 대표적인 사례다.,무기의세계,갖은 우여곡절 끝에 탄생하여 현재 프랑스군의 표준 제식화기로 사용 중인 FAMAS 돌격소총은 그러한 프랑스의 국산 무기 개발에 관한 딜레마를 여실히 보여주고 있는 대표적인 사례다.
F-106 델타 다트 전투기,1950년대 미국의 초음속 전투기 시리즈인 센츄리 전투기 시리즈중 하나인 F-106 델타 다트 전투기는 푸에블로 피납사건으로 인하여 한국에 주둔한 전투기이도 하다.,무기의세계,1950년대 미국의 초음속 전투기 시리즈인 센츄리 전투기 시리즈중 하나인 F-106 델타 다트 전투기는 푸에블로 피납사건으로 인하여 한국에 주둔한 전투기이도 하다.
롱비치 순양함,항모 엔터프라이즈와 함께 핵추진함으로 개발된 롱비치 순양함은 시대를 뛰어넘는 다양한 기술들이 적용되어졌으나 너무 시대를 앞서간탓에 이상한 형태의 함으로 탄생하였다.,무기의세계,항모 엔터프라이즈와 함께 핵추진함으로 개발된 롱비치 순양함은 시대를 뛰어넘는 다양한 기술들이 적용되어졌으나 너무 시대를 앞서간탓에 이상한 형태의 함으로 탄생하였다.
"THAAD, SM-3 미사일","대륙간 탄도 미사일에 대한 요격이 목적인 MD체계에서 미사일을 요격하기 위한 THAAD, SM-3 미사일은 적의 미사일 공격에 대해 효과적으로 대처할 수 있는 수단이다.",무기의세계,"대륙간 탄도 미사일에 대한 요격이 목적인 MD체계에서 미사일을 요격하기 위한 THAAD, SM-3 미사일은 적의 미사일 공격에 대해 효과적으로 대처할 수 있는 수단이다."
지그-자우어 P226 권총,스위스와 독일의 합작품인 지그-자우어 P226 권총은 미군의 차세대 제식권총 최종 후보에 뽑힐 정도로 뛰어난 성능을 가졌으나 비싼 가격으로 인하여 베레타에 제식권총의 영예를 넘겨줘야 했다.,무기의세계,스위스와 독일의 합작품인 지그-자우어 P226 권총은 미군의 차세대 제식권총 최종 후보에 뽑힐 정도로 뛰어난 성능을 가졌으나 비싼 가격으로 인하여 베레타에 제식권총의 영예를 넘겨줘야 했다.
PzH 2000 자주포,PzH 2000 자주포는 종종 우리나라가 개발한 K-9 자주포의 라이벌...,무기의세계,PzH 2000 자주포는 종종 우리나라가 개발한 K-9 자주포의 라이벌...
K 시리즈 소총,"한국군 K 시리즈 소총인 K1A기관단총, K2 소총에 대해서 알아보고, 차세대 소총으로 개발된 K11에 대해서 알아본다.",무기의세계,"한국군 K 시리즈 소총인 K1A기관단총, K2 소총에 대해서 알아보고, 차세대 소총으로 개발된 K11에 대해서 알아본다."