Day,Task,Owner,Start,End,Status,Notes
Day 1,기획 및 환경 구축,,2025년 4월 28일,2025년 4월 28일,,"• 요구 사항 정리: 분석목표, 주요 지표, 크롤링 대상, 사용 기술                                          • 데이터 탐색: 필수 데이터, 사이드 데이터(robots.txt)
 • 환경 구축: Git 레포지토리 구축, Jupyter notebook 환경"
Day 2,웹 크롤러 설계 및 시범 수집 & 크롤링 구현,,2025년 4월 29일,,,"• 샘플 코드 작성 : 단일 페이지 크롤링 → 파싱 테스트, 데이터 구조 확인                                      •  크롤링: 데이터 분량 분배 후 크롤링 진행"
Day 3,크롤링 진행,,,,,"•  필수데이터, 사이드 데이터 크롤링"
Day 4,크롤링 마무리 및 데이터 결합,,,2025년 5월 1일,,• 데이터 결합 : 각자 크롤링한 데이터 결합
Day 5,데이터 정제 및 전처리,,2025년 5월 2일,2025년 5월 6일,,• 클렌징 작업                                                • 분석 목적에 맞게 정제
Day 6,DB 연동 & 데이터 탐색 및 시각화,,2025년 5월 7일,,,"• EDA 수행
• 심화 탐색 및 시각화: 분석 목표에 맞는 분석 기술 사용"
Day 7,데이터 분석 & 시각화 및 프로토 타입 설계,,,2025년 5월 8일,,• 핵심 차트 구현: 분석 목표에 맞는 시각화                                                            • 대시보드 스케치 : Streamlit을 사용해 대시보드 설계
Day 8,최종 시각화 완성 & 최종 보고서 작성,,2025년 5월 9일,2025년 5월 11일,,"• 차트, 대시보드 완성                                    • 최종 보고서 작성(PPT) "
Day 9,발표 리허설,,2025년 5월 12일,,,
Day 10,최종 발표,,2025년 5월 13일,,,